,identifier,title,tokensCombined,mainTopic
12,http://arxiv.org/abs/0903.4386,Error-and-Erasure Decoding for Block Codes with Feedback,"['error', 'erasur', 'decod', 'block', 'code', 'feedback', 'inner', 'outer', 'bound', 'deriv', 'optim', 'perform', 'fix', 'length', 'block', 'code', 'discret', 'memoryless', 'channel', 'feedback', 'error', 'erasur', 'decod', 'first', 'inner', 'bound', 'deriv', 'use', 'phase', 'encod', 'scheme', 'commun', 'control', 'phase', 'togeth', 'optim', 'decod', 'rule', 'given', 'encod', 'scheme', 'among', 'decod', 'rule', 'repres', 'term', 'pairwis', 'comparison', 'messag', 'outer', 'bound', 'deriv', 'use', 'gener', 'straight', 'line', 'bound', 'error', 'erasur', 'decod', 'optim', 'error', 'expon', 'trade', 'feedback', 'encod', 'messag', 'addit', 'upper', 'lower', 'bound', 'deriv', 'optim', 'erasur', 'expon', 'error', 'free', 'block', 'code', 'term', 'rate', 'present', 'proof', 'fact', 'optim', 'trade', 'error', 'expon', 'messag', 'code', 'increas', 'feedback', 'dmc']",19
13,http://arxiv.org/abs/0904.2051,Joint-sparse recovery from multiple measurements,"['joint', 'spars', 'recoveri', 'multipl', 'measur', 'joint', 'spars', 'recoveri', 'problem', 'aim', 'recov', 'set', 'compress', 'measur', 'unknown', 'spars', 'matric', 'nonzero', 'entri', 'restrict', 'subset', 'row', 'extens', 'singl', 'measur', 'vector', '(smv)', 'problem', 'wide', 'studi', 'compress', 'sens', 'analyz', 'recoveri', 'properti', 'type', 'recoveri', 'algorithm', 'first', 'show', 'recoveri', 'use', 'norm', 'minim', 'cannot', 'exceed', 'uniform', 'recoveri', 'rate', 'sequenti', 'use', 'minim', 'problem', 'solv', 'approach', 'second', 'analyz', 'perform', 'rembo', 'algorithm', 'mishali', 'eldar', 'ieee', 'tran', 'proc', 'combin', 'minim', 'show', 'recoveri', 'improv', 'measur', 'taken', 'analysi', 'follow', 'measur', 'number', 'nonzero', 'row', 'improv', 'potenti', 'theoret', 'recoveri', 'rate']",3
14,http://arxiv.org/abs/0907.3220,Inter Genre Similarity Modelling For Automatic Music Genre   Classification,"['inter', 'genr', 'similar', 'model', 'automat', 'music', 'genr', 'classif', 'music', 'genr', 'classif', 'essenti', 'tool', 'music', 'inform', 'retriev', 'system', 'find', 'critic', 'applic', 'variou', 'media', 'platform', 'import', 'problem', 'automat', 'music', 'genr', 'classif', 'featur', 'extract', 'classifi', 'design', 'paper', 'investig', 'inter', 'genr', 'similar', 'model', '(igs)', 'improv', 'perform', 'automat', 'music', 'genr', 'classif', 'inter', 'genr', 'similar', 'inform', 'extract', 'classifi', 'featur', 'popul', 'inter', 'genr', 'similar', 'model', 'elimin', 'inter', 'genr', 'similar', 'reduc', 'inter', 'genr', 'confus', 'improv', 'identif', 'rate', 'inter', 'genr', 'similar', 'model', 'improv', 'iter', 'modelling(iigs)', 'score', 'model', 'elimination(smigs)', 'experiment', 'result', 'promis', 'classif', 'improv', 'provid']",8
15,http://arxiv.org/abs/0907.3965,P != NP Proof,"['proof', 'paper', 'demonstr', 'gener', 'tradit', 'definit', 'class', 'construct', 'artifici', 'problem', 'gener', 'much', 'difficult', 'former)', 'demonstr', '(where', 'class', 'gener', 'call', 'simpli', 'paper', 'explain', 'tradit', 'class', 'fix', 'replac', 'gener', 'one', 'theori', 'comput', 'science)', 'demonstr', 'consist', 'definit', 'restrict', 'type', 'program', 'definit', 'gener', 'extend', 'problem', 'satisfi', 'boolean', 'formula', 'gener', 'class', 'demonstr', 'demonstr', 'demonstr', 'baker', 'gill', 'solovay', 'theorem', 'refut', 'proof', 'demonstr', 'razborov', 'rudich', 'theorem', 'refut', 'proof', 'demonstr', 'aaronson', 'wigderson', 'theorem', 'refut', 'proof']",4
16,http://arxiv.org/abs/0910.2912,Universally Composable Quantum Multi-Party Computation,"['univers', 'compos', 'quantum', 'multi', 'parti', 'comput', 'univers', 'compos', 'model', '(uc)', 'canetti', '(foc', 'allow', 'secur', 'composit', 'arbitrari', 'protocol', 'present', 'quantum', 'version', 'model', 'enjoy', 'composition', 'guarante', 'prove', 'model', 'statist', 'secur', 'oblivi', 'transfer', 'protocol', 'construct', 'commit', 'furthermor', 'show', 'everi', 'statist', 'classic', 'secur', 'protocol', 'also', 'statist', 'quantum', 'secur', 'implic', 'known', 'quantum', 'secur', 'definit', 'corollari', 'quantum', 'secur', 'protocol', 'gener', 'multi', 'parti', 'comput', 'construct', 'commit']",19
17,http://arxiv.org/abs/0910.5577,On the stability of two-chunk file-sharing systems,"['stabil', 'chunk', 'file', 'share', 'system', 'consid', 'five', 'differ', 'peer', 'peer', 'file', 'share', 'system', 'chunk', 'find', 'chunk', 'select', 'algorithm', 'provabl', 'stabl', 'perform', 'input', 'rate', 'assum', 'altruist', 'peer', 'leav', 'system', 'immedi', 'download', 'second', 'chunk', 'show', 'mani', 'algorithm', 'first', 'look', 'promis', 'lead', 'unstabl', 'oscil', 'behavior', 'howev', 'system', 'desir', 'properti', 'rigor', 'result', 'concern', 'correspond', 'determinist', 'larg', 'system', 'limit', 'simplest', 'case', 'provid', 'proof', 'stochast', 'system', 'also']",19
18,http://arxiv.org/abs/0911.1507,MAC Layer Hurdles in BSNs,"['layer', 'hurdl', 'bsn', 'last', 'decad', 'seen', 'consider', 'research', 'progress', 'microelectron', 'integr', 'circuit', 'system', 'chip', 'design', 'wireless', 'commun', 'sensor', 'technolog', 'progress', 'enabl', 'seamless', 'integr', 'autonom', 'wireless', 'sensor', 'node', 'around', 'human', 'bodi', 'creat', 'bodi', 'sensor', 'network', '(bsn)', 'develop', 'proactiv', 'ambulatori', 'induc', 'number', 'enorm', 'issu', 'challeng', 'paper', 'present', 'technic', 'hurdl', 'design', 'implement', 'power', 'medium', 'access', 'control', '(mac)', 'protocol', 'bodi', 'bodi', 'sensor', 'network', 'analyz', 'perform', 'ieee', 'protocol', 'bodi', 'sensor', 'network', 'also', 'provid', 'comprehens', 'insight', 'heterogen', 'characterist', 'bodi', 'sensor', 'network', 'power', 'techniqu', 'call', 'pattern', 'base', 'wake', 'tabl', 'propos', 'handl', 'normal', 'traffic', 'propos', 'techniqu', 'provid', 'reliabl', 'solut', 'toward', 'power', 'commun', 'bodi', 'sensor', 'network']",17
19,http://arxiv.org/abs/0911.1509,On the Development of Low Power MAC Protocol for WBANs,"['develop', 'power', 'protocol', 'wban', 'current', 'advanc', 'wireless', 'commun', 'microelectron', 'semiconductor', 'technolog', 'intellig', 'sensor', 'contribut', 'develop', 'unobtrus', 'wban', 'network', 'provid', 'long', 'term', 'health', 'monitor', 'patient', 'without', 'constraint', 'normal', 'activ', 'tradit', 'protocol', 'accommod', 'assort', 'wban', 'traffic', 'requir', 'power', 'effici', 'manner', 'paper', 'present', 'brief', 'discuss', 'develop', 'process', 'power', 'protocol', 'wban', 'observ', 'behavior', 'beacon', 'enabl', 'ieee', 'bodi', 'sensor', 'network', 'propos', 'power', 'techniqu', 'call', 'traffic', 'base', 'wakeup', 'mechan', 'wban', 'exploit', 'traffic', 'pattern', 'node', 'ensur', 'power', 'effici', 'reliabl', 'commun']",17
20,http://arxiv.org/abs/0911.1544,Towards Power Efficient MAC Protocol for In-Body and On-Body Sensor   Networks,"['toward', 'power', 'effici', 'protocol', 'bodi', 'bodi', 'sensor', 'network', 'paper', 'present', 'empir', 'discuss', 'design', 'implement', 'power', 'effici', 'medium', 'access', 'control', '(mac)', 'protocol', 'bodi', 'bodi', 'sensor', 'network', 'analyz', 'perform', 'beacon', 'enabl', 'ieee', 'tdma', 'protocol', 'bodi', 'sensor', 'network', 'present', 'traffic', 'base', 'wakeup', 'mechan', 'util', 'traffic', 'pattern', 'node', '(bns)', 'accommod', 'entir', 'traffic', 'enabl', 'logic', 'connect', 'differ', 'work', 'differ', 'frequenc', 'band', 'method', 'call', 'bridg', 'function', 'propos', 'bridg', 'function', 'integr', 'work', 'differ', 'band', 'complet']",17
21,http://arxiv.org/abs/0911.1546,A Study of Implanted and Wearable Body Sensor Networks,"['studi', 'implant', 'wearabl', 'bodi', 'sensor', 'network', 'recent', 'advanc', 'intellig', 'sensor', 'microelectron', 'integr', 'circuit', 'system', 'chip', 'design', 'power', 'wireless', 'commun', 'introduc', 'develop', 'miniaturis', 'autonom', 'sensor', 'node', 'tini', 'sensor', 'node', 'deploy', 'develop', 'proactiv', 'bodi', 'sensor', 'network', '(bsn)', 'rapid', 'advanc', 'ultra', 'power', '(radio', 'frequency)', 'technolog', 'enabl', 'invas', 'invas', 'devic', 'commun', 'remot', 'station', 'commun', 'revolution', 'healthcar', 'system', 'enabl', 'long', 'term', 'health', 'monitor', 'patient', 'provid', 'real', 'time', 'feedback', 'medic', 'expert', 'paper', 'present', 'bodi', 'bodi', 'commun', 'network', 'special', 'focu', 'methodolog', 'wireless', 'commun', 'implant', 'medic', 'devic', 'extern', 'monitor', 'equip', 'recent', 'technolog', 'growth', 'area', 'also', 'discuss', 'open', 'issu', 'challeng']",17
22,http://arxiv.org/abs/0911.2538,Euclidean versus hyperbolic congestion in idealized versus experimental   networks,"['euclidean', 'versu', 'hyperbol', 'congest', 'ideal', 'versu', 'experiment', 'network', 'paper', 'propos', 'mathemat', 'justif', 'phenomenon', 'extrem', 'congest', 'limit', 'number', 'node', 'larg', 'network', 'argu', 'phenomenon', 'occur', 'combin', 'neg', 'curvatur', 'properti', 'network', 'togeth', 'minimum', 'length', 'rout', 'specif', 'shown', 'larg', 'dimension', 'hyperbol', 'ball', 'radiu', 'view', 'roughli', 'similar', 'model', 'gromov', 'hyperbol', 'network', 'proport', 'traffic', 'path', 'transit', 'small', 'ball', 'near', 'center', 'independ', 'radiu', 'wherea', 'euclidean', 'ball', 'proport', 'scale', 'discrep', 'persist', 'traffic', 'load', 'center', 'hyperbol', 'ball', 'scale', 'squar', 'volum', 'wherea', 'traffic', 'load', 'scale', 'volum', 'power', 'euclidean', 'ball', 'provid', 'theoret', 'justif', 'experiment', 'expon', 'discrep', 'observ', 'narayan', 'sanie', 'traffic', 'load', 'gromov', 'hyperbol', 'network', 'rocketfuel', 'data', 'base', 'synthet', 'euclidean', 'lattic', 'network', 'conjectur', 'network', 'enjoy', 'obviou', 'symmetri', 'hyperbol', 'euclidean', 'ball', 'point', 'maximum', 'traffic', 'near', 'center', 'mass', 'network']",5
23,http://arxiv.org/abs/0911.2746,Model Selection: Two Fundamental Measures of Coherence and Their   Algorithmic Significance,"['model', 'select', 'fundament', 'measur', 'coher', 'algorithm', 'signific', 'problem', 'model', 'select', 'aris', 'number', 'context', 'compress', 'sens', 'subset', 'select', 'linear', 'regress', 'estim', 'structur', 'graphic', 'model', 'signal', 'denois', 'paper', 'gener', 'notion', 'emph', 'incoher', 'exist', 'literatur', 'model', 'select', 'introduc', 'fundament', 'measur', 'coher', 'term', 'worst', 'case', 'coher', 'averag', 'coher', 'among', 'column', 'design', 'matrix', 'particular', 'util', 'measur', 'coher', 'provid', 'depth', 'analysi', 'simpl', 'step', 'threshold', '(ost)', 'algorithm', 'model', 'select', 'insight', 'offer', 'ensu', 'analysi', 'feasibl', 'model', 'select', 'long', 'design', 'matrix', 'obey', 'easili', 'verifi', 'properti', 'addit', 'paper', 'also', 'character', 'model', 'select', 'perform', 'term', 'worst', 'case', 'coher', 'establish', 'perform', 'near', 'optim', 'signal', 'nois', 'ratio', 'regim', 'design', 'matric', 'contrast', 'exist', 'literatur', 'model', 'select', 'analysi', 'paper', 'nonasymptot', 'natur', 'requir', 'knowledg', 'true', 'model', 'order', 'applic', 'gener', '(random', 'deterministic)', 'design', 'matric', 'neither', 'requir', 'submatric', 'design', 'matrix', 'full', 'rank', 'assum', 'statist', 'prior', 'valu', 'nonzero', 'entri', 'data', 'vector']",0
24,http://arxiv.org/abs/0911.5153,Self-Reference Ultra-Wideband Systems,"['self', 'refer', 'ultra', 'wideband', 'system', 'toward', 'employ', 'complex', 'transceiv', 'signal', 'recept', 'ultra', 'wideband', '(uwb)', 'system', 'transmit', 'refer', '(tr)', 'differenti', '(dtr)', 'scheme', 'attract', 'research', 'attent', 'letter', 'introduc', 'altern', 'less', 'complex', 'scheme', 'call', 'self', 'refer', '(sr)', 'transceiv', 'use', 'modifi', 'replica', 'receiv', 'signal', 'refer', 'puls', 'result', 'doubl', 'data', 'rate', 'compar', 'scheme', 'moreov', 'elimin', 'need', 'delay', 'line', 'receiv', 'side', 'constitut', 'major', 'drawback', 'convent', 'scheme', 'also', 'requir', 'channel', 'estim', 'result', 'lower', 'complex', 'implement', 'power', 'save', 'perform', 'scheme', 'investig', 'high', 'frequenc', '(hf)', 'channel', 'show', 'offer', 'better', 'compar', 'perform', 'depend', 'channel', 'condit']",4
25,http://arxiv.org/abs/1001.1435,"JBotSim, a Tool for Fast Prototyping of Distributed Algorithms in   Dynamic Networks","['jbotsim', 'tool', 'fast', 'prototyp', 'distribut', 'algorithm', 'dynam', 'network', 'jbotsim', 'java', 'librari', 'offer', 'basic', 'primit', 'prototyp', 'run', 'visual', 'distribut', 'algorithm', 'dynam', 'network', 'jbotsim', 'implement', 'idea', 'minut', 'interact', 'move', 'delet', 'nodes)', 'run', 'jbotsim', 'well', 'suit', 'prepar', 'live', 'demonstr', 'algorithm', 'colleagu', 'student', 'also', 'use', 'evalu', 'perform', 'algorithm', 'level', '(number', 'messag', 'number', 'round', 'unlik', 'tool', 'jbotsim', 'integr', 'environ', 'lightweight', 'librari', 'use', 'program', 'paper', 'present', 'overview', 'distinct', 'featur', 'architectur']",1
26,http://arxiv.org/abs/1001.3780,Combinatorial Bounds and Characterizations of Splitting Authentication   Codes,"['combinatori', 'bound', 'character', 'split', 'authent', 'code', 'present', 'sever', 'gener', 'result', 'split', 'authent', 'code', 'studi', 'aspect', 'multi', 'fold', 'secur', 'primari', 'result', 'prove', 'combinatori', 'lower', 'bound', 'number', 'encod', 'rule', 'combinatori', 'character', 'optim', 'split', 'authent', 'code', 'multi', 'fold', 'secur', 'spoof', 'attack', 'character', 'base', 'type', 'combinatori', 'design', 'introduc', 'basic', 'necessari', 'condit', 'given', 'regard', 'exist']",1
27,http://arxiv.org/abs/1002.0747,Efficient Bayesian Learning in Social Networks with Gaussian Estimators,"['effici', 'bayesian', 'learn', 'social', 'network', 'gaussian', 'estim', 'consid', 'group', 'bayesian', 'agent', 'estim', 'state', 'world', 'theta', 'interact', 'social', 'network', 'agent', 'initi', 'receiv', 'privat', 'measur', 'theta', 'number', 'pick', 'gaussian', 'distribut', 'mean', 'theta', 'standard', 'deviat', 'discret', 'time', 'iter', 'reveal', 'estim', 'theta', 'neighbor', 'observ', 'neighbor', 'action', 'updat', 'belief', 'use', 'bay', 'process', 'aggreg', 'inform', 'effici', 'sens', 'agent', 'converg', 'belief', 'access', 'privat', 'measur', 'show', 'process', 'comput', 'effici', 'agent', 'calcul', 'easili', 'carri', 'also', 'show', 'graph', 'process', 'converg', 'cdot', 'step', 'number', 'agent', 'diamet', 'network', 'show', 'tree', 'distanc', 'transit', 'graph', 'process', 'converg', 'step', 'preserv', 'privaci', 'agent', 'learn', 'littl', 'privat', 'signal', 'agent', 'despit', 'effici', 'aggreg', 'inform', 'result', 'extend', 'unpublish', 'manuscript', 'first', 'last', 'author']",7
28,http://arxiv.org/abs/1003.1628,Having Fun with Lambert W(x) Function,"['lambert', 'w(x)', 'function', 'short', 'note', 'present', 'lambert', 'w(x)', 'function', 'possibl', 'applic', 'framework', 'physic', 'relat', 'pierr', 'auger', 'observatori', 'actual', 'numer', 'implement', 'consist', 'halley', 'fritsch', 'iter', 'branch', 'point', 'expans', 'asymptot', 'seri', 'ration', 'fit', 'initi', 'approxim']",12
29,http://arxiv.org/abs/1004.0208,Delay-rate tradeoff in ergodic interference alignment,"['delay', 'rate', 'tradeoff', 'ergod', 'interfer', 'align', 'ergod', 'interfer', 'align', 'introduc', 'nazer', '(ngjv)', 'techniqu', 'allow', 'high', 'rate', 'commun', 'user', 'interfer', 'network', 'fast', 'fade', 'work', 'split', 'commun', 'across', 'pair', 'fade', 'matric', 'howev', 'come', 'overhead', 'long', 'time', 'delay', 'matchabl', 'matric', 'occur', 'delay', 'field', 'size', 'paper', 'outlin', 'famili', 'scheme', 'call', 'reduc', 'expect', 'delay', 'sometim', 'cost', 'reduct', 'rate', 'ngjv', 'scheme', 'particular', 'give', 'exampl', 'good', 'scheme', 'network', 'user', 'show', 'larg', 'user', 'network', 'delay', 'scale', 'like', 'quadrat', 'constant', 'user', 'rate', 'constant', 'constant', 'rate', 'also', 'show', 'half', 'singl', 'user', 'rate', 'achiev', 'reduc', 'ngjv', 'delay', 'extend', 'version', 'includ', 'complet', 'proof', 'detail', 'good', 'scheme', 'small']",0
30,http://arxiv.org/abs/1004.4940,FauxCrypt - A Method of Text Obfuscation,"['fauxcrypt', 'method', 'text', 'obfusc', 'warn', 'rais', 'steadi', 'diminut', 'privaci', 'person', 'inform', 'contain', 'electron', 'mail', 'move', 'cloud', 'comput', 'server', 'machin', 'search', 'index', 'fauxcrypt', 'algorithm', 'modif', 'plaintext', 'document', 'leav', 'gener', 'readabl', 'person', 'readili', 'search', 'index', 'machin', 'algorithm', 'employ', 'dictionari', 'substitut', 'select', 'word', 'obfusc', 'transposit', 'letter', 'word', 'obfusc', 'design', 'leav', 'word', 'understand', 'although', 'badli', 'spell', 'fauxcrypt', 'free', 'open', 'sourc', 'softwar', 'sourc', 'code', 'avail']",3
